country,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,14.6,,,,,,,,,,31.1,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.1,,,0.6,,,0.2,,,,0.6,,1,0.1,0.1,0.4,0,0,0,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
Argentina,,,,,,,,,,,,,,,,,,0.3,,,,,,1.1,1.2,,,,1,1.7,2,1.9,3.9,4.2,3.8,4,4.2,5,8.2,12.4,5.3,3.8,2.6,2.1,1.7,1.6,1.5,0.7,0.7,0.6,0.6,0.6,,0.7,0.4,0.8,0.8,1.1,1,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,14,10,7.5,5.3,2.6,2,1.5,0.9,1.2,1,1.2,0.8,1.7,1.4,1.1,1.1,0.8,1.3,1,0.4,0.5,
Australia,,,,,,,,,,,,,,,,,,,1,,,,1,,,,0.7,,,,,,0.7,,,,,,0.7,,1,0.7,,,,0.4,,0.3,,,,0.5,,0.5,,0.5,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0,0.2,0.2,0.2,0,,,0.3,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.4,0.6,0.3,0.2,0.7,0.7,0.3,0.6,0.6,0.7,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,6.2,0.1,0.1,0,0,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,,,,,,79.4,,,,,,,,71.8,,,,,,,65.1,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.5,,,,1,,,0.4,,0.5,,,0.3,,,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,,,,,54.3,,,,50.7,,,20.1,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1,,,,79.9,,,,,54.7,,,,,,52.6,,,,,39.6,,,,31.2,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,37.3,,32.7,,,41.7,,,41.9,,,,33.7,,,,,33.3,,,,,24,,,,,18.2,,,,,,13.5,,,,,,9.6
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,1.8,1.3,1.3,2,2.5,2.3,1.8,1.7,3.4,2,1.4,0.9,0.9,0.2,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,19.2,13.6,6.6,4.4,3.5,1.3,0.9,0.4,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,14.8,,18.2,20.9,20.7,19.6,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,21.9,24.2,19,19.7,,10.2,15.6,12.5,9.5,8.3,8.8,,5.3,6.5,5.2,4.3,4.6,5.6,4.9,3.3,1.9,3.1,2,
Brazil,,,,,,,,,,,,,,,,,,,23.9,24.4,30.6,29.9,25.8,12.3,19.9,22.4,20.4,24,,23.3,22.1,,14.7,16,16,14.3,15,,13,11.7,12.6,11.1,10,8.3,7.9,6.5,6.1,,5.3,4.5,3.7,3.3,3.9,4.7,5.3,5.3,5.4,1.9,5.8,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,5.9,,,,,1.7,,,,,0.9,,,,,0
Botswana,,,,,,,,,,,,,,,,,,,,,,,41.8,,,,,,,,34.1,,,,,,,,,29.1,,,,,,,17.7,,,,,,15.4,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2,,,,,,,,,,,,,,,,61.9,,,,,,,,,,,,,65.7,
Canada,,,,,,,,,2.2,,1.7,,1.5,,1.2,,1.2,,0.7,0.7,,0.7,0.5,1,0.5,0.7,1.2,1.2,1.2,0.7,1.2,1,0.7,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,,,
Switzerland,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.5,,,,,,,,0,,0,,,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,10.7,,6.7,,6.8,,4.7,,4.6,,5.8,,,5.3,,,2.1,,,1.7,,0.9,,0.5,,0.4,,0.3,,,0.7,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,62.7,,,48.1,,,46,,,36.5,,,22.1,,,18,,13.9,10.2,8.5,2.9,2.1,1.2,0.8,0.7,0.4,0.1,0.1,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,8.2,4.4,9.4,13.4,,,,27.1,,,25.9,,,30.4,,,,29.1,,,,,,34.4,,,,,,,33.4,,,11.5,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,25.7,,,,,,31.4,,,,,,,25.7,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,,,,,,,,69.9,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,,,,,,35.4,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,17.6,,,21.4,17.5,21,14.2,13,12,10.7,,,11,9.6,8.3,6.8,6.7,6.1,5.4,4.9,4.9,4.3,4.5,5.3,9.4,6.6,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,,,18.6,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,,10.6,,,,,,,,4.6,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,25.9,,,,,13.9,,,10.6,10.4,12.4,9.9,8.5,7,7.1,8.2,6.7,5.2,6.8,6.9,5.1,4.7,4.7,4.7,3.3,3.3,1.8,2.4,2.5,1.5,1.8,1.7,1.6,1.5,1.6,1.3,1.2,1.5,1.1,2.3,1.2,0.9
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0.2,0,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,,,,,19.7,24.9,,,,19.1,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,0,,,,,0,,,0.3,0.3,0.3,0.1,0,0.1,0.5,0.1,0,0,0.3,0.2,0.2,0.3,0.1,0.2,0.3,0.2,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,17.5,,,7.6,,,,6.5,6.9,,,6.7,5.1,7.6,8.7,11.6,7.4,6.3,6.1,5.4,4.7,3.9,4.1,3.8,3,3.4,2.5,2,1,0.8,0.8,1,0.9,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,5.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,21.8,28.4,,,14.9,15,11.8,8.2,8.5,7.5,7.3,5.7,4.7,4.5,3.2,2.6,3.4,3.6,3.2,3.3,3.6,6.5,3.6,3.2
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,3,,,,1.4,,,,,3.1,,,,2.9,,1,,0.9,,,0.9,,2.5,,1.5,,,
Spain,,,,,,,,,,,,,,,,,,0.5,,,,,0.2,,,,,0.5,,,1.2,1,1.5,1.5,1,1,0.7,0.7,,,0.8,0.8,0.7,0.8,0.4,0.5,0.8,0.7,1.1,0.9,1.1,0.8,0.9,1.1,0.7,0.8,0.8,0.9,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.1,0.8,0.8,0.4,0.4,0.6,0.8,1,0.7,0.9,0.8,0.6,0.5,0.3,0.2,0.6,0.3,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,,,,58,,,,,34.6,,,,,,30.8,,,,,27,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,0,,,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,1,,,,,0.4,,,,,,1.3,,,
France,,,,,,,,0,,,,,0.2,,,,0.2,,,,,0.5,,,,,,0.2,,,,,,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,16,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,2.5,,,,,
UK,,,,,,0.2,0.2,0,0,0.2,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,18.8,17,21.8,22.9,23,12.7,12.9,12.4,12.9,12.6,14.2,12.4,12.1,14.4,13.4,10.7,8.1,6.1,4.9,4.9,6.2,5.6,4.8,5.8,5.5,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,58.4,57.5,,,64.2,,,,,,,55,,,,,,,42.5,,,,,,,25.7,,,,25.2,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,,,40.8,,,,,,,,53.2,,,,,47.9,,,,,24.5,,,,,,13.8,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1,,,,,50.7,,,,,,,29.8,,,,,13.4,,,,,17.2,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,42.2,,,,,,,,,53.2,,,,,,,,66.7,,,,,,,,21.7,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,0.5,,,0.5,0.6,0.3,0.6,0.5,0.3,0.6,1,1.1,1.5,1,1.5,1.4,1,0.9,0.1,0.7,0.8,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,37,,,,,,,,,14,,9.6,,,,,,11.7,,,,,,,,9.5,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,40,42,30.8,27,21.4,24.3,26.2,28.6,19.6,24.5,24.9,,19.8,22,26.5,25.4,25.1,21.1,15.6,15.2,12.3,13.8,14.3,17,14.6,13.3,13,14.6,13.9,14.2,12.7,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,0.6,0.8,0.7,1,0.6,0.6,0.5,0.4,0.3,0.3,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.7,0.1,0.1,0,0.1,0.1,0.1,0.3,0.2,0.7,0.6,1.3,0.6,0.2,0.3,0.4,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,74.2,,,74.3,,,62.8,,,62.1,,,51.3,,69.1,46,43.6,39.9,26.8,26.4,27,24.6,30.6,25.2,24.7,21,18.3,15.7,13.7,11.2,9.3,8.3,7.5,6.6,5.4,4.4,3.8,3.5,2.5
India,,,,,,,,,,,,,,,63.1,,,,,,56.3,,,,50.6,,,,,,47.6,,,,,,,,,,,39.9,,,,,32.9,,22.5,,,,18.7,18.1,13.4,11.1,12.7,14.7,11.9,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.2,0.2,0.2,,,,0.2,,0.2,0.1,0.1,0,0.4,0.1,0.2,0.5,0.5,0.5,0.3,0.7,0.4,0.4,0.1,0.2,0,0.1,0.1,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,8.4,,,,4.5,,,,4.5,,,,,,,1,0.8,,,1.5,,,,0.3,0.8,0.7,0.7,0.6,0.9,0.9,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.1,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,,,,,
Israel,,,,,,,,,,,,,,,,,0,,,,,,,0.2,,,,,,0.2,,,,,0.2,,,,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.2,0.2,0.7,0.5,0.5,0.5,0.2,0.5,0.5,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.2,,0,,0.2,,1.2,,0.7,,,1.7,,1.2,,,0.8,0.6,0.6,0.7,0.7,0.7,0.9,1.3,1.2,1.2,1.4,1.2,1.9,1.6,1.4,1.5,1,0.8,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,2.9,,,7.4,,,2.6,,,2.3,,,2.1,,1.2,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.6,,,,,0.4,,,,,0.2,,,,0.1,,0,,0,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0,,,0.7,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,12.8,8.9,6.2,3.3,8.7,1,0.4,0.2,0.2,0.2,0.1,0,0,0,0,0.1,0,0,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,25.9,,,25.4,,,,,,,,36.7,,,,,,,,,,29.4,,,,,35,36.1,
